experiment,method,rep_index,sample_ms
p1d_variant_scoped_structural,solr,19,1.3815609999999998
p1d_variant_scoped_structural,solr,20,1.6147500000000001
p1d_variant_scoped_structural,solr,21,1.516328
p1d_variant_scoped_structural,solr,22,1.811878
p1d_variant_scoped_structural,solr,23,3.243557
p1d_variant_scoped_structural,solr,24,1.755449
p1d_variant_scoped_structural,solr,25,1.3523610000000001
p1d_variant_scoped_structural,solr,26,1.253357
p1d_variant_scoped_structural,solr,27,1.431256
p1d_variant_scoped_structural,solr,28,1.381002
p1d_variant_scoped_structural,solr,29,1.394215
p1d_range_plus_structural,commerce_native,0,1219.302471
p1d_range_plus_structural,commerce_native,1,1204.7028090000001
p1d_range_plus_structural,commerce_native,2,1180.705523
p1d_range_plus_structural,commerce_native,3,1195.038936
p1d_range_plus_structural,commerce_native,4,1237.234939
p1d_range_plus_structural,commerce_native,5,1239.9940199999999
p1d_range_plus_structural,commerce_native,6,1263.946418
p1d_range_plus_structural,commerce_native,7,1237.29427
p1d_range_plus_structural,commerce_native,8,1185.148111
p1d_range_plus_structural,commerce_native,9,1181.299139
p1d_range_plus_structural,commerce_native,10,1196.386795
p1d_range_plus_structural,commerce_native,11,1238.353991
p1d_range_plus_structural,commerce_native,12,1243.182852
p1d_range_plus_structural,commerce_native,13,1251.187571
p1d_range_plus_structural,commerce_native,14,1205.960205
p1d_range_plus_structural,commerce_native,15,1219.45462
p1d_range_plus_structural,commerce_native,16,1217.107959
p1d_range_plus_structural,commerce_native,17,1197.243726
p1d_range_plus_structural,commerce_native,18,976.0875
p1d_range_plus_structural,commerce_native,19,841.2801460000001
p1d_range_plus_structural,commerce_native,20,863.912642
p1d_range_plus_structural,commerce_native,21,871.477155
p1d_range_plus_structural,commerce_native,22,873.1642499999999
p1d_range_plus_structural,commerce_native,23,864.5494110000001
p1d_range_plus_structural,commerce_native,24,856.25699
p1d_range_plus_structural,commerce_native,25,841.891688
p1d_range_plus_structural,commerce_native,26,874.332775
p1d_range_plus_structural,commerce_native,27,864.920359
p1d_range_plus_structural,commerce_native,28,852.422237
p1d_range_plus_structural,commerce_native,29,856.528319
p1d_range_plus_structural,tantivy_standalone,0,2.744603
p1d_range_plus_structural,tantivy_standalone,1,4.028121
p1d_range_plus_structural,tantivy_standalone,2,2.5807189999999998
p1d_range_plus_structural,tantivy_standalone,3,4.044143
p1d_range_plus_structural,tantivy_standalone,4,2.772882
p1d_range_plus_structural,tantivy_standalone,5,4.050005
p1d_range_plus_structural,tantivy_standalone,6,4.0019979999999995
p1d_range_plus_structural,tantivy_standalone,7,4.0595040000000004
p1d_range_plus_structural,tantivy_standalone,8,2.549613
p1d_range_plus_structural,tantivy_standalone,9,3.889809
p1d_range_plus_structural,tantivy_standalone,10,3.157009
p1d_range_plus_structural,tantivy_standalone,11,3.97797
p1d_range_plus_structural,tantivy_standalone,12,2.907719
