experiment,method,metric,n,mean,stddev,min,p10,p25,p50,p75,p90,p95,p99,max
p1d_structural_exact_entity,tantivy_standalone,latency_ms,30,1.1876871666666666,3.1098225456428468,0.061023999999999995,0.0771251,0.08529,0.1434265,0.42050825,1.614737700000001,7.761355249999973,12.5470595,12.693698
p1d_structural_exact_entity,solr,latency_ms,30,0.8395031000000001,0.1540736620642419,0.6867000000000001,0.7088032000000001,0.73941225,0.796608,0.8650530000000001,0.9781294000000001,1.15382485,1.3215700800000003,1.3854710000000001
p1d_variant_scoped_structural,commerce_native,latency_ms,30,0.015036766666666668,0.005556530173081742,0.003885,0.008958200000000001,0.0114065,0.015016000000000002,0.01760975,0.0215766,0.024347999999999988,0.02707718,0.027441999999999998
p1d_variant_scoped_structural,tantivy_standalone,latency_ms,30,1.2275059333333334,1.6356915594303802,0.120091,0.16271650000000001,0.233018,0.6489565,0.9666352500000001,3.6055184000000007,4.960694699999994,6.06587495,6.136996
p1d_variant_scoped_structural,solr,latency_ms,30,0.9077251666666666,0.22065069862787942,0.7227600000000001,0.7475454,0.79201425,0.8410039999999999,0.9298745,1.1138475,1.2371392999999997,1.6691367300000004,1.82851
p1d_range_plus_structural,commerce_native,latency_ms,30,50.48710503333332,44.3152229950801,35.741936,36.6170588,37.250988,43.042569,44.67222475,48.25161490000001,58.38610359999997,219.2962649200002,283.146247
p1d_range_plus_structural,tantivy_standalone,latency_ms,30,3.1663099333333333,0.8450118772593115,2.259369,2.347816,2.4034725,3.3206485,3.71332575,3.8267369,4.395815549999997,5.38932575,5.653987
p1d_range_plus_structural,solr,latency_ms,30,1.6773505333333332,0.32992419412623203,0.9999399999999999,1.056489,1.48713125,1.794923,1.8577910000000002,1.9995711999999999,2.06801685,2.22997163,2.295121
p1d_structural_plus_lexical_residual,commerce_native,latency_ms,30,12.192765333333334,12.396603393525865,0.278173,0.4026926,3.63288775,7.7850395,24.88577675,31.0299696,33.79059454999998,36.143357280000004,36.188095000000004
p1d_structural_plus_lexical_residual,tantivy_standalone,latency_ms,30,15.5694442,14.329696004835876,2.02069,3.2557105,4.48768825,10.765653499999999,22.673875250000002,38.284882400000015,47.193760299999994,47.7299247,47.83826
p1d_structural_plus_lexical_residual,solr,latency_ms,30,1.6796954666666664,0.35191154494381144,0.833571,1.1151283,1.445632,1.8093185,1.94560975,1.9851555,2.07886105,2.1034753800000003,2.1102260000000004
p1d_structural_plus_semantic_residual,commerce_native,latency_ms,30,6.291756599999999,4.683507435562227,0.348196,0.45963850000000006,2.9047465,4.3578795,11.7219105,12.4840481,13.773459599999997,14.60669933,14.671752999999999
p1d_structural_plus_semantic_residual,tantivy_standalone,latency_ms,30,6.5478567,9.321194243253244,1.147759,1.212844,1.36256625,1.6749785,8.293955,10.8148873,25.231067599999932,38.49421121,39.290276
p1d_structural_plus_semantic_residual,solr,latency_ms,30,1.7083212666666665,0.6816518953998458,0.912288,1.2069619,1.377542,1.6870265,1.77533625,1.9687620000000001,2.348581899999999,4.160718050000002,4.819179
p1d_lexical_first,commerce_native,latency_ms,30,6.883186066666667,7.5266522869886705,0.187308,1.6406403,2.69719825,5.007783,6.402111,11.106634400000026,27.990574249999998,28.12869852,28.143724
p1d_lexical_first,tantivy_standalone,latency_ms,30,11.225811766666665,12.39204047061961,0.329191,0.7784545,3.5789507499999997,8.91911,11.09054525,24.34425160000003,42.81232105,46.50682965000001,47.997086
p1d_lexical_first,solr,latency_ms,30,1.5140228333333332,0.3293147471800824,0.8033060000000001,1.0563627,1.4122625,1.5941960000000002,1.725463,1.8078470000000002,1.97207095,2.05687955,2.083155
p1d_ambiguous_punt,commerce_native,latency_ms,30,7.1379931333333335,4.949691739042131,1.2019140000000001,2.8752899000000007,3.536525,5.089383,10.430292000000001,16.1688479,16.2490305,17.808340760000004,18.421243
p1d_ambiguous_punt,tantivy_standalone,latency_ms,30,17.5099926,9.263592849182457,3.807534,5.6032647,8.4727515,18.665022,20.599808000000003,28.9324386,32.22175739999999,37.66240115,39.162271
p1d_ambiguous_punt,solr,latency_ms,30,1.5553539666666667,0.2970688823757284,0.856482,1.1054266,1.47199475,1.582484,1.7513782500000001,1.8565478,1.89252065,2.0745623400000004,2.146237
p1d_long_tail_noisy,commerce_native,latency_ms,30,4.297320166666666,2.421466686321601,0.307376,2.0341258,2.3165985,3.7066235,6.08287875,7.171295200000003,9.01608585,9.226379210000001,9.278971
p1d_long_tail_noisy,tantivy_standalone,latency_ms,30,4.423752733333333,3.073446252703441,0.360855,0.4056141,2.61000625,3.7919080000000003,6.364967,9.0455877,9.2335427,11.138883610000002,11.89407
