trigger,brand_id,catalog_purity,matched_queries,newly_admitted,native_ndcg_mean,solr_ndcg_mean,false_positives,false_positive_rate,decision
dark revival,29065,0.9,1,0,0,0,0,0,REJECT (no coverage)
david bitton,32815,0.96,1,0,0,0,0,0,REJECT (no coverage)
de 50,134916,0.9230769230769231,1,1,0.3126667288804499,0.9537125187088151,0,0,PROMOTE
debut 2.0,85699,1,1,0,0,0,0,0,REJECT (no coverage)
decker 40v,4220,0.8666666666666667,1,0,0,0,0,0,REJECT (no coverage)
defender series,9783,0.98,1,0,0,0,0,0,REJECT (no coverage)
deluxe nintendo,2911,0.8823529411764706,1,0,0,0,0,0,REJECT (no coverage)
deluxe nintendo switch,2911,0.8666666666666667,1,0,0,0,0,0,REJECT (no coverage)
design bobby,124929,1,1,1,0.3667314583167897,0.5600305932318571,0,0,PROMOTE
design martingale,58116,0.9166666666666666,1,0,0,0,0,0,REJECT (no coverage)
devotion plus,4199,1,1,0,0,0,0,0,REJECT (no coverage)
dewalt 20v,1515,0.98,1,0,0,0,0,0,REJECT (no coverage)
dewalt tool,1515,1,1,0,0,0,0,0,REJECT (no coverage)
di gio,13510,0.8611111111111112,1,0,0,0,0,0,REJECT (no coverage)
diamond cookware,29572,0.8888888888888888,1,0,0,0,0,0,REJECT (no coverage)
diamond select,18245,0.98,1,0,0,0,0,0,REJECT (no coverage)
dockers mens,3117,1,1,0,0,0,0,0,REJECT (no coverage)
dolce gabbana,54257,0.84,1,0,0,0,0,0,REJECT (no coverage)
doorbell 3,16444,0.8823529411764706,1,0,0,0,0,0,REJECT (no coverage)
doorbell 3 plus,16444,1,1,0,0,0,0,0,REJECT (no coverage)
double front,7521,0.88,1,0,0,0,0,0,REJECT (no coverage)
dove invisible,23546,0.9285714285714286,1,0,0,0,0,0,REJECT (no coverage)
dr brandt,59775,1,1,1,0.6782961487391511,0.7890540506597234,0,0,PROMOTE
dr brown,23482,1,1,0,0,0,0,0,REJECT (no coverage)
dr browns,23482,0.9090909090909091,1,1,0.25430127623392856,0.3372905462485835,0,0,PROMOTE
dr denese,77501,1,1,1,0.35895421017163465,0.7909506325094736,0,0,PROMOTE
dr hauschka,59799,1,1,0,0,0,0,0,REJECT (no coverage)
dr teal,26444,0.92,1,0,0,0,0,0,REJECT (no coverage)
dri fit,3656,0.9,3,0,0,0,0,0,REJECT (no coverage)
duratrax six,20624,1,1,0,0,0,0,0,REJECT (no coverage)
duratrax six pack,20624,1,1,0,0,0,0,0,REJECT (no coverage)
easel pad,9163,0.8,1,0,0,0,0,0,REJECT (no coverage)
ed levin,202467,1,1,0,0,0,0,0,REJECT (no coverage)
elac debut,85699,1,1,0,0,0,0,0,REJECT (no coverage)
elac debut 2.0,85699,1,1,0,0,0,0,0,REJECT (no coverage)
elephant and piggie,59221,0.8947368421052632,3,0,0,0,0,0,REJECT (no coverage)
elite trainer,257,0.9411764705882353,1,1,0.16872714292220853,0.41599630237747487,0,0,PROMOTE
elite trainer box,257,0.9411764705882353,1,1,0.16872714292220853,0.41599630237747487,0,0,PROMOTE
enzymedica digest,29184,1,1,0,0,0,0,0,REJECT (no coverage)
epic react,3656,1,1,0,0,0,0,0,REJECT (no coverage)
epic react flyknit,3656,1,1,0,0,0,0,0,REJECT (no coverage)
essentials 3-stripes,274,1,1,0,0,0,0,0,REJECT (no coverage)
essie nail,54753,1,1,0,0,0,0,0,REJECT (no coverage)
essie nail polish,54753,0.9777777777777777,1,0,0,0,0,0,REJECT (no coverage)
euro design,5391,0.972972972972973,1,0,0,0,0,0,REJECT (no coverage)
excellence book,26335,0.9230769230769231,1,0,0,0,0,0,REJECT (no coverage)
falken ziex,4205,1,1,0,0,0,0,0,REJECT (no coverage)
fancy feast,29418,0.8958333333333334,1,0,0,0,0,0,REJECT (no coverage)
fat brain,18691,1,2,0,0,0,0,0,REJECT (no coverage)
felt applique,41320,0.8205128205128205,1,0,0,0,0,0,REJECT (no coverage)
felt tip pens,,845,0.8125,1,0,0,0,0,0,REJECT (no coverage)
fender player,6894,1,1,0,0,0,0,0,REJECT (no coverage)
fender player stratocaster,6894,1,1,0,0,0,0,0,REJECT (no coverage)
fever tree,141824,0.8421052631578947,1,0,0,0,0,0,REJECT (no coverage)
fifth adelaide,6957,1,1,0,0,0,0,0,REJECT (no coverage)
fig bars,34147,0.95,1,0,0,0,0,0,REJECT (no coverage)
first hill,67088,0.9047619047619048,1,1,1,1,0,0,PROMOTE
fish flag,4390,0.8666666666666667,1,0,0,0,0,0,REJECT (no coverage)
fisher &,13720,0.8,1,0,0,0,0,0,REJECT (no coverage)
fisher price,13720,0.98,6,2,0.41863911616685623,0.5764604104052309,0,0,PROMOTE
fit 9,275,1,1,0,0,0,0,0,REJECT (no coverage)
fit designed,9781,0.98,1,0,0,0,0,0,REJECT (no coverage)
fit orthotic,35721,1,1,0,0,0,0,0,REJECT (no coverage)
fit orthotic inserts,35721,1,1,0,0,0,0,0,REJECT (no coverage)
flair felt,845,0.975609756097561,2,0,0,0,0,0,REJECT (no coverage)
flair felt tip,845,0.975609756097561,2,0,0,0,0,0,REJECT (no coverage)
flex rigby,7521,1,1,0,0,0,0,0,REJECT (no coverage)
flexikold gel,39066,0.9090909090909091,1,1,0.5182281048448001,0.5767758031063227,0,0,PROMOTE
flyknit 2,3656,1,1,0,0,0,0,0,REJECT (no coverage)
for christmas tree,15281,0.8,1,0,0,0,0,0,REJECT (no coverage)
for crocs,3664,1,1,0,0,0,0,0,REJECT (no coverage)
for men shampoo,27871,0.8888888888888888,1,0,0,0,0,0,REJECT (no coverage)
force 1,3656,1,3,0,0,0,0,0,REJECT (no coverage)
forces of destiny,405,0.9230769230769231,1,0,0,0,0,0,REJECT (no coverage)
forever stamps,17725,0.9473684210526315,1,0,0,0,0,0,REJECT (no coverage)
free olive,8783,0.9310344827586207,1,0,0,0,0,0,REJECT (no coverage)
free security,9892,0.8461538461538461,1,0,0,0,0,0,REJECT (no coverage)
free tea bags,44078,0.8181818181818182,1,0,0,0,0,0,REJECT (no coverage)
french lavender scented,52303,0.8918918918918919,1,0,0,0,0,0,REJECT (no coverage)
frye women,31718,1,1,0,0,0,0,0,REJECT (no coverage)
fujifilm instax,40702,0.94,2,0,0,0,0,0,REJECT (no coverage)
fujifilm instax mini,40702,0.94,1,0,0,0,0,0,REJECT (no coverage)
fully modular power,4675,0.8181818181818182,1,0,0,0,0,0,REJECT (no coverage)
fully unlocked,3147,0.8,1,0,0,0,0,0,REJECT (no coverage)
funny slippers,40806,0.8,1,0,0,0,0,0,REJECT (no coverage)
funny slippers for,40806,1,1,0,0,0,0,0,REJECT (no coverage)
gabor women,211,1,1,1,0.6489315753318465,0.6968404678259544,0,0,PROMOTE
gaiam kids,9040,1,1,0,0,0,0,0,REJECT (no coverage)
game drive for,2349,0.8571428571428571,1,0,0,0,0,0,REJECT (no coverage)
gel kayano,11798,1,1,0,0,0,0,0,REJECT (no coverage)
generation free,10719,0.9285714285714286,1,0,0,0,0,0,REJECT (no coverage)
generation free &,10719,0.9285714285714286,1,0,0,0,0,0,REJECT (no coverage)
generation laundry,10719,1,1,0,0,0,0,0,REJECT (no coverage)
ghost 12,7469,1,1,0,0,0,0,0,REJECT (no coverage)
gifts under $20,22345,0.9166666666666666,1,0,0,0,0,0,REJECT (no coverage)
gifts under 20,22345,0.9166666666666666,1,0,0,0,0,0,REJECT (no coverage)
glade automatic,15304,0.9142857142857143,1,0,0,0,0,0,REJECT (no coverage)
glade automatic spray,15304,0.9142857142857143,1,0,0,0,0,0,REJECT (no coverage)
gm original,1153,0.98,1,0,0,0,0,0,REJECT (no coverage)
gm original equipment,1153,0.98,1,0,0,0,0,0,REJECT (no coverage)
gnc women's,6017,0.9714285714285714,2,0,0,0,0,0,REJECT (no coverage)
gnc women's ultra,6017,0.9,1,0,0,0,0,0,REJECT (no coverage)
go pony,76979,0.8181818181818182,1,0,0,0,0,0,REJECT (no coverage)
go walk,6085,1,1,0,0,0,0,0,REJECT (no coverage)
gold lust,94887,1,1,0,0,0,0,0,REJECT (no coverage)
golden curry,15369,0.8333333333333334,1,0,0,0,0,0,REJECT (no coverage)
goodman 4,2617,1,1,0,0,0,0,0,REJECT (no coverage)
graphing calculator,46484,0.84,4,0,0,0,0,0,REJECT (no coverage)
greenway biotech,51332,0.9473684210526315,1,1,0.7799082337019198,0.933745776545611,0,0,PROMOTE
greenway biotech brand,51332,1,1,1,0.7799082337019198,0.933745776545611,0,0,PROMOTE
grey's anatomy,25823,0.94,1,0,0,0,0,0,REJECT (no coverage)
grip a strip,2673,0.8461538461538461,1,0,0,0,0,0,REJECT (no coverage)
haagen dazs,76650,0.8571428571428571,1,0,0,0,0,0,REJECT (no coverage)
hair laundry,59777,0.86,1,0,0,0,0,0,REJECT (no coverage)
hallmark christmas,425,0.88,1,0,0,0,0,0,REJECT (no coverage)
hallmark shoebox,425,1,1,0,0,0,0,0,REJECT (no coverage)
hallmark shoebox funny,425,1,1,0,0,0,0,0,REJECT (no coverage)
halo sleepsack,13177,1,1,0,0,0,0,0,REJECT (no coverage)
hand outswing,8494,1,1,0,0,0,0,0,REJECT (no coverage)
hanes women's,264,1,1,0,0,0,0,0,REJECT (no coverage)
hanes women's ultimate,3355,0.8333333333333334,1,0,0,0,0,0,REJECT (no coverage)
hanging strips,40046,0.92,1,0,0,0,0,0,REJECT (no coverage)
has a gun,149007,1,3,0,0,0,0,0,REJECT (no coverage)
have snacks,15088,0.8125,1,1,1,1,0,0,PROMOTE
hawaiian shirts for,11103,0.85,1,1,0,0,0,0,PROMOTE
hazel facial,130521,0.9,1,1,0.5079937796926363,0.6300426811446145,0,0,PROMOTE
hd 10 tablet,3140,0.88,1,0,0,0,0,0,REJECT (no coverage)
head and shoulders,78614,0.9629629629629629,1,0,0,0,0,0,REJECT (no coverage)
heathyoga yoga,30655,1,1,0,0,0,0,0,REJECT (no coverage)
heathyoga yoga pants,30655,1,1,0,0,0,0,0,REJECT (no coverage)
heidi heckelbeck,418,1,1,1,1,1,0,0,PROMOTE
helly hansen,20228,1,1,1,0,0.14829723057014907,1,1,REJECT (false-positive rate too high)
henry girls,25531,1,1,0,0,0,0,0,REJECT (no coverage)
hermes terre,52876,0.9,1,1,1,1,0,0,PROMOTE
high boots size,1742,1,1,0,0,0,0,0,REJECT (no coverage)
home comforter,2143,0.875,1,0,0,0,0,0,REJECT (no coverage)
home improvement protection,3173,1,1,0,0,0,0,0,REJECT (no coverage)
honey can,2676,0.94,1,0,0,0,0,0,REJECT (no coverage)
honey can do,2676,0.96,1,0,0,0,0,0,REJECT (no coverage)
hot dots,13496,1,1,1,0.8369256770986023,0.929640810185802,0,0,PROMOTE
hot wheels premium,21596,0.9090909090909091,1,0,0,0,0,0,REJECT (no coverage)
hp instant,3171,1,1,0,0,0,0,0,REJECT (no coverage)
hp instant ink,3171,1,1,0,0,0,0,0,REJECT (no coverage)
hp printer,37532,0.8709677419354839,1,0,0,0,0,0,REJECT (no coverage)
hunter fan,328,0.92,1,0,0,0,0,0,REJECT (no coverage)
hunter fan 52,328,0.9166666666666666,1,0,0,0,0,0,REJECT (no coverage)
hydro boost,13059,1,1,0,0,0,0,0,REJECT (no coverage)
hydroshot portable,2353,0.8,1,1,0.6410457898283652,0.841492960259019,0,0,PROMOTE
hydroshot portable power,2353,0.8,1,1,0.6410457898283652,0.841492960259019,0,0,PROMOTE
hygger aquarium,2785,1,1,0,0,0,0,0,REJECT (no coverage)
ice maiden,4390,1,1,0,0,0,0,0,REJECT (no coverage)
ice maiden ii,4390,1,1,0,0,0,0,0,REJECT (no coverage)
ignatius catholic,21251,1,1,1,0.7799082337019198,1,0,0,PROMOTE
ignatius catholic study,21251,1,1,1,0.7799082337019198,1,0,0,PROMOTE
ignitor ii,14120,1,1,1,0.9477344873475498,0.9432379215722527,0,0,PROMOTE
improvement protection,3173,1,1,0,0,0,0,0,REJECT (no coverage)
improvement protection plan,3173,1,1,0,0,0,0,0,REJECT (no coverage)
in 4k,1880,0.8571428571428571,1,1,0.1884441521277154,0.48649183542828267,0,0,PROMOTE
inkjoy gel,845,0.9655172413793104,1,0,0,0,0,0,REJECT (no coverage)
inkjoy gel pens,845,1,1,0,0,0,0,0,REJECT (no coverage)
inogen one,83388,0.9166666666666666,1,0,0,0,0,0,REJECT (no coverage)
inogen one g3,83388,0.9090909090909091,1,0,0,0,0,0,REJECT (no coverage)
instant ink,3171,1,1,0,0,0,0,0,REJECT (no coverage)
instax mini,40702,0.92,1,0,0,0,0,0,REJECT (no coverage)
